id,abbreviation,full_name,elr,lor,mileage_from_ch,mileage_to_ch,source_doc,source_page,loaded_at
29909,UC,Up Cambridge,HDT,EA1160,1111.0,1202.0,Anglia - March 2026 Sectional Appendix.pdf,192,2026-04-28T02:36:05.510537
29910,LISY,Up Southbury,HDT,EA1160,1111.0,1202.0,Anglia - March 2026 Sectional Appendix.pdf,192,2026-04-28T02:36:05.510537
29911,DSY,Down Southbury,HDT,EA1160,1111.0,1202.0,Anglia - March 2026 Sectional Appendix.pdf,192,2026-04-28T02:36:05.510537
29912,UC,Up Cambridge,HEB,EA1160,1478.0,1533.0,Anglia - March 2026 Sectional Appendix.pdf,194,2026-04-28T02:36:05.662082
29913,DH,Down Heriford,HEB,EA1160,1478.0,1533.0,Anglia - March 2026 Sectional Appendix.pdf,194,2026-04-28T02:36:05.662082
29914,UC,Up Cambridge,BGK,EA1160,1609.0,1819.0,Anglia - March 2026 Sectional Appendix.pdf,195,2026-04-28T02:36:06.707561
29915,UC,Up Cambridge,BGK,EA1160,1940.0,2063.0,Anglia - March 2026 Sectional Appendix.pdf,196,2026-04-28T02:36:06.822567
29916,UC,Up Cambridge,BGK,EA1160,2133.0,2381.0,Anglia - March 2026 Sectional Appendix.pdf,197,2026-04-28T02:36:06.920495
29917,UC,Up Cambridge,BGK,EA1160,2427.0,2511.0,Anglia - March 2026 Sectional Appendix.pdf,198,2026-04-28T02:36:07.728113
29918,UC,Up Cambridge,BGK,EA1161,2668.0,2750.0,Anglia - March 2026 Sectional Appendix.pdf,199,2026-04-28T02:36:08.626109
29919,UA,Up Airport,BGK,EA1161,2668.0,2750.0,Anglia - March 2026 Sectional Appendix.pdf,199,2026-04-28T02:36:08.626109
29920,DA,Down Airport,BGK,EA1161,2668.0,2750.0,Anglia - March 2026 Sectional Appendix.pdf,199,2026-04-28T02:36:08.626109
29921,DGLN,Down Goods Loop North,BGK,EA1161,4531.0,4531.0,Anglia - March 2026 Sectional Appendix.pdf,207,2026-04-28T02:36:09.452064
29922,USY,Up Southbury,BGK,EA1170,244.0,403.0,Anglia - March 2026 Sectional Appendix.pdf,221,2026-04-28T02:36:12.361754
29923,DSY,Down Southbury,BGK,EA1170,244.0,403.0,Anglia - March 2026 Sectional Appendix.pdf,221,2026-04-28T02:36:12.361754
29924,USY,Up Southbury,SSL,EA1170,439.0,571.0,Anglia - March 2026 Sectional Appendix.pdf,222,2026-04-28T02:36:12.510907
29925,DSY,Down Southbury,SSL,EA1170,439.0,571.0,Anglia - March 2026 Sectional Appendix.pdf,222,2026-04-28T02:36:12.510907
