elr,mileage_raw,mileage_ch,mileage_decimal,type,name,easting,northing,latitude,longitude
CGJ6,10.1364,10m 62ch,10.1364,Authorised Access Point '-' Pedestrian,Forge Bridge Access Point <Bridge 58>,350576.0,445947.0,53.90712,-2.7524
CGJ6,11.0714,11m 32ch,11.0714,Authorised Access Point '-' Pedestrian,WOODACRE LC,350358.0,446948.0,53.9161,-2.75588
CGJ6,12.0474,12m 22ch,12.0474,Authorised Access Point '-' Pedestrian,GUBBERFORD LANE,350078.0,448318.0,53.92838,-2.76037
CGJ6,12.1308,12m 59ch,12.1308,Authorised Access Point '-' Pedestrian,STATION LANE,349735.0,448963.0,53.93415,-2.7657
CGJ6,13.0040,13m 02ch,13.004,Authorised Access Point '-' Pedestrian,6 ARCHES,349516.0,449341.0,53.93752,-2.7691
CGJ6,13.1578,13m 72ch,13.1578,Authorised Access Point '-' Pedestrian,BRIDGE 67,349582.0,450751.0,53.9502,-2.76832
CGJ6,14.0570,14m 26ch,14.057,Authorised Access Point '-' Vehicle,HOLLINS LANE,348538.0,451432.0,53.95622,-2.78435
CGJ6,15.0448,15m 20ch,15.0448,Authorised Access Point '-' Vehicle,BAY HORSE,349268.0,452924.0,53.9697,-2.77347
CGJ6,16.0118,16m 05ch,16.0118,Authorised Access Point '-' Pedestrian,HAMPSON GREEN,348736.0,454118.0,53.98038,-2.78178
CGJ6,16.1201,16m 55ch,16.1201,Authorised Access Point '-' Vehicle,GALGATE,348354.0,455030.0,53.98854,-2.78776
CGJ6,18.0232,18m 11ch,18.0232,Authorised Access Point '-' Vehicle,OUBECK,348037.0,457419.0,54.00998,-2.793
CGJ6,18.0330,18m 15ch,18.033,Authorised Access Point '-' Pedestrian,FIVE ASHES LANE,348035.0,457421.0,54.01,-2.79303
CGJ6,19.0680,19m 31ch,19.068,Authorised Access Point '-' Pedestrian,BRIDGE 86,347777.0,459336.0,54.02718,-2.7973
CGJ6,20.0055,20m 02ch,20.0055,Authorised Access Point '-' Pedestrian,BRIDGE RD,347740.0,460371.0,54.03648,-2.79804
CGJ6,20.0841,20m 38ch,20.0841,Authorised Access Point '-' Pedestrian,UB 91,347354.0,460976.0,54.04188,-2.80404
CGJ6,20.1396,20m 63ch,20.1396,Authorised Access Point '-' Vehicle,STATION CAR PARK,347240.0,461463.0,54.04625,-2.80587
CGJ6,20.1443,20m 66ch,20.1443,Authorised Access Point '-' Vehicle,LANCASTER STATION,347274.0,461516.0,54.04673,-2.80536
