page,elrs,lor,line_of_route_description,n_lines,duplicate_rows,abbreviations,problem
741,"HXS1, HXS2",NW8001,Hunts Cross West Jn. to Southport,3,3,"DSP, RS, USP",multi-ELR duplication - needs diagram review
743,"HXS2, HXS3",NW8001,Hunts Cross West Jn. to Southport,2,2,"DSP, USP",lines genuinely span both ELRs - no fix needed
744,"BSJ, HXS3",NW8001,Hunts Cross West Jn to Southport,4,4,"D&UG, DC, DSP, USP",multi-ELR duplication - needs diagram review
750,"MIR1, SIL",NW8003,Paradise Jn to James Street (Stock Interchange I Holding Line),4,4,"DWK, P2, P3, UWK",multi-ELR duplication - needs diagram review
752,"SJO1, SJO2",NW8005,Sandhills Jn to Ormskirk,4,4,"DH, DO, UH, UO",multi-ELR duplication - needs diagram review
755,"HXS3, NMM",NW8007,Bootle Jn. to Aintree Emergency G.F.,5,5,"DC, DSP, Edge, Hill, UR",multi-ELR duplication - needs diagram review
756,"AFL, NMB",NW8007,Bootle Jn. to Aintree Emergency G.F.,2,2,"DC, If",lines genuinely span both ELRs - no fix needed
759,"WJK, WKL2",NW8009,Walton Jn to Headbolt Lane,10,10,"Arr & Dep, CD, D&U, DHB, HBS, NOTE, P1, P2, P3, UHB",junk entries - parsing artifacts
761,"MIR1, MIR2",NW8011,Mann Island Jn to West Kirby (via Loop),6,6,"DWK, LOOP, P2, P3, SI / HL, UWK",multi-ELR duplication - needs diagram review
762,"CWK1, MIR2",NW8011,Mann Island Jn. to West Kirby (Via Loop),2,2,"DWK, UWK",lines genuinely span both ELRs - no fix needed
765,"BOS, CWK3",NW8011,Mann Island Jn. to West Kirby (Via Loop),2,2,"DWK, UWK",lines genuinely span both ELRs - no fix needed
769,"CRR2, MIR2",NW8013,Canning Street Jn. to Hooton South Jn.,3,3,"DC, DUCS, UC",multi-ELR duplication - needs diagram review
772,"BEN, CWK3",NW8015,Bidston East Jn. to New Brighton (New Brighton lines),2,2,"DNB, UNB",lines genuinely span both ELRs - no fix needed
774,"CCS1, CCS2",NW8017,Canning Street North to Rock Ferry South Jn.,1,1,DC,lines genuinely span both ELRs - no fix needed
798,"DWS, MAS",NW9001,Dore West Jn to Edgeley Jn No.1 (Hope Valley lines),5,5,"DHV, OM, OS, UHV, UM",multi-ELR duplication - needs diagram review
803,"MAS, TTA1",NW9001,Dore West Jn to Edgeley Jn No.1 (Hope Valley lines),8,8,"D&UC, D&UG, DM, MU, P1, P2, RO1, UM",multi-ELR duplication - needs diagram review
804,"NMC1, TTA1",NW9001,Dore West Jn to Edgeley Jn No.1 (Hope Valley lines),6,6,"DM, DRm, IQ, UGL, UM, URm",multi-ELR duplication - needs diagram review
805,"HGC, NMC1",NW9001,Dore West Jn to Edgeley Jn No.1 (Hope Valley lines),8,8,"DCL, DHV, DM, LL, U&DC, U&DHV, UHV, UM",multi-ELR duplication - needs diagram review
806,"BEJ, HGC",NW9001,Dore West Jn to Edgeley Jn No.1 (Hope Valley lines),7,7,"DB, DHV, P1, P2, U&DHV, UB, UHV",multi-ELR duplication - needs diagram review
814,"CNB1, CNB2, CNB3",NW9005,Chinley North Jn to Buxton,1,2,D&UG,lines genuinely span both ELRs - no fix needed
815,"CNB3, CNB4",NW9005,Chinley North Jn to Buxton,4,4,"D&UH, Ej, HS, U&DGR",multi-ELR duplication - needs diagram review
820,"TTA1, TTA2",NW9007,New Mills South Jn to Ashburys East Jn,2,2,"DRB, URB",lines genuinely span both ELRs - no fix needed
822,"RYH1, RYH2",NW9011,Romiley Jn to Hyde Jn,8,8,"DRm, DWB, ORB, P1, P2, URB, URm, UWB",multi-ELR duplication - needs diagram review
824,"GMC, WJP1",NW9013,Woodley Jn to Bred bury Sidings,4,4,"DN RB, East, Hyde, UP RB",multi-ELR duplication - needs diagram review
826,"NMC1, NMC2, WJP1",NW9017,Hazel Grove High Level Jn to Northenden Jn,2,4,"High, U&DC",lines genuinely span both ELRs - no fix needed
856,"SAC, SKW1",NW9901,Gargrave to Carlisle South Jn,5,5,"CD, OM, P1, P2, UM",multi-ELR duplication - needs diagram review
858,"AQL, SAC",NW9901,Gargrave to Carlisle South Jn,4,4,"DM, P1, P2, UM",multi-ELR duplication - needs diagram review
865,"SAC, WAR",NW9901,Gargrave to Carlisle South Jn,3,3,"D&UTS, DM, UM",multi-ELR duplication - needs diagram review
871,"NEC2, SAC",NW9901,Gargrave to Carlisle South Jn,7,7,"DMid, DN, ONG, U&DN, UMid, UN, UNG",multi-ELR duplication - needs diagram review
872,"CGJ7, NEC2",NW9901,Gargrave to Carlisle South Jn,3,3,"DNG, U&DN, UNG",multi-ELR duplication - needs diagram review
876,"SJC, SKW1",NW9903,Settle Jn to Carnforth Station Jn,2,2,"DB, UB",lines genuinely span both ELRs - no fix needed
877,"CEC, SJC",NW9903,Settle Jn to Carnforth Station Jn,2,2,"DB, UB",lines genuinely span both ELRs - no fix needed
878,"EDE, WAR",NW9907,Warcop to Appleby,1,1,D&UTS,lines genuinely span both ELRs - no fix needed
