id,signal_box_name,signal_prefix,workstation_name,signalling_method,eco_name,eco_type,elr,lor,mileage_from_raw,mileage_from_ch,mileage_to_raw,mileage_to_ch,source_doc,source_page,loaded_at
15917,Colchester SB,CO,,TCB,Romford,AC,MAH,,61m 10ch,4890,61m 14ch,4894,Anglia - March 2026 Sectional Appendix.pdf,178,2026-04-28T02:36:03.297567
15918,Parl<eston SB,P,,TCB,Romford,AC,MAH,,62m 37ch,4997,66m 49ch,5329,Anglia - March 2026 Sectional Appendix.pdf,179,2026-04-28T02:36:03.320125
15919,Parl<eston SB,P,,TCB,Romford,AC,MAH,EA1120,68m 02ch,5442,68m 79ch,5519,Anglia - March 2026 Sectional Appendix.pdf,180,2026-04-28T02:36:03.392132
15920,Applies on Harwich single line,P,,TCB,Romford,AC,MAH,EA1120,70m 19ch,5619,70m 61ch,5661,Anglia - March 2026 Sectional Appendix.pdf,181,2026-04-28T02:36:03.473158
15921,OTS if; Colchester SB,CO,,,,,GRW,EA1130,0m 00ch,0,0m 47ch,47,Anglia - March 2026 Sectional Appendix.pdf,182,2026-04-28T02:36:03.798950
15922,Upminster S.C.C.,NL,,TCB,Romford,AC,DWW2,,0m 00ch,0,0m 29ch,29,Anglia - March 2026 Sectional Appendix.pdf,184,2026-04-28T02:36:04.182284
15923,Liverpool St IECC,L,,TCB,,,GRE,EA1160,1m 61ch,141,2m 55ch,215,Anglia - March 2026 Sectional Appendix.pdf,185,2026-04-28T02:36:04.268411
15924,Liverpool St IECC,L,,TCB,Down Cambridge,DC,BGK,EA1160,2m 65ch,225,3m 04ch,244,Anglia - March 2026 Sectional Appendix.pdf,186,2026-04-28T02:36:04.830614
15925,Liverpool St IECC,L,,TCB,Romford,AC,BGK,EA1160,3m 19ch,259,3m 78ch,318,Anglia - March 2026 Sectional Appendix.pdf,187,2026-04-28T02:36:04.907622
15926,Liverpool St IECC,L,,TCB,Romford,AC,SDC,EA1160,4m 38ch,358,4m 74ch,394,Anglia - March 2026 Sectional Appendix.pdf,188,2026-04-28T02:36:04.985120
15927,Liverpool St IECC,L,,TCB,Down Cambridge,DC,TSE,EA1160,5m 41ch,441,6m 00ch,480,Anglia - March 2026 Sectional Appendix.pdf,189,2026-04-28T02:36:05.062569
15928,Liverpool St IECC,L,,TCB,Romford,AC,BGK,EA1160,6m 73ch,553,10m 65ch,865,Anglia - March 2026 Sectional Appendix.pdf,190,2026-04-28T02:36:05.145761
15929,Liverpool St IECC,L,,TCB,Down Cambridge,DC,HDT,EA1160,13m 71ch,1111,15m 02ch,1202,Anglia - March 2026 Sectional Appendix.pdf,192,2026-04-28T02:36:05.510537
15930,Liverpool St IECC,L,,TCB,Romford,AC,BGK,EA1160,17m 17ch,1377,17m 24ch,1384,Anglia - March 2026 Sectional Appendix.pdf,193,2026-04-28T02:36:05.587226
15931,Liverpool St IECC,L,,TCB,Romford,AC,HEB,EA1160,18m 38ch,1478,19m 13ch,1533,Anglia - March 2026 Sectional Appendix.pdf,194,2026-04-28T02:36:05.662082
15932,Liverpool St IECC,L,,TCB,Down Cambridge,DC,BGK,EA1160,20m 09ch,1609,22m 59ch,1819,Anglia - March 2026 Sectional Appendix.pdf,195,2026-04-28T02:36:06.707561
15933,Liverpool St IECC,L,,TCB,Romford,AC,BGK,EA1160,24m 20ch,1940,25m 63ch,2063,Anglia - March 2026 Sectional Appendix.pdf,196,2026-04-28T02:36:06.822567
15934,Liverpool St IECC,L,,TCB,Romford,AC,BGK,EA1160,26m 53ch,2133,29m 61ch,2381,Anglia - March 2026 Sectional Appendix.pdf,197,2026-04-28T02:36:06.920495
15935,Liverpool St IECC,L,,TCB,Romford,AC,BGK,EA1160,30m 27ch,2427,31m 31ch,2511,Anglia - March 2026 Sectional Appendix.pdf,198,2026-04-28T02:36:07.728113
15936,Liverpool St IECC,L,,TCB,Romford,AC,BGK,EA1161,33m 28ch,2668,34m 30ch,2750,Anglia - March 2026 Sectional Appendix.pdf,199,2026-04-28T02:36:08.626109
15937,Cambridge SB Wor1<station 1( CA) (),,,TCB,Romford,AC,BGK,EA1161,35m 45ch,2845,40m 59ch,3259,Anglia - March 2026 Sectional Appendix.pdf,200,2026-04-28T02:36:08.742137
15938,Cambridge SB Workstation 1,CA,,TCB,Romford,AC,BGK,EA1161,41m 31ch,3311,43m 60ch,3500,Anglia - March 2026 Sectional Appendix.pdf,201,2026-04-28T02:36:08.861436
15939,Cambridge SB Wor1<station 1,CA,,TCB,Romford,AC,BGK,EA1161,45m 06ch,3606,46m 65ch,3745,Anglia - March 2026 Sectional Appendix.pdf,202,2026-04-28T02:36:08.968628
15940,Cambridge SB Workstation 1,CA,,TCB,Romford,AC,BGK,EA1161,47m 11ch,3771,49m 54ch,3974,Anglia - March 2026 Sectional Appendix.pdf,203,2026-04-28T02:36:09.004825
15941,cambridge SB Workstation 1 (CA) (),,,TCB,Romford,AC,BGK,EA1161,49m 75ch,3995,52m 64ch,4224,Anglia - March 2026 Sectional Appendix.pdf,204,2026-04-28T02:36:09.121459
15942,Cambridge SB,CA,,TCB,Romford,AC,BGK,EA1161,53m 32ch,4272,54m 11ch,4331,Anglia - March 2026 Sectional Appendix.pdf,205,2026-04-28T02:36:09.226088
15943,Cambridge SB Workstation 2,CA,,TCB,Romford,AC,BGK,EA1161,55m 35ch,4435,55m 52ch,4452,Anglia - March 2026 Sectional Appendix.pdf,206,2026-04-28T02:36:09.336668
15944,Cambridge SB Wor1<station 2,CA,,TCB,Romford,AC,BGK,EA1161,56m 51ch,4531,56m 51ch,4531,Anglia - March 2026 Sectional Appendix.pdf,207,2026-04-28T02:36:09.452064
15945,Cambridge SB Workstation 2(CA\1,,,TCB,Romford,AC,BGK,EA1161,57m 54ch,4614,57m 75ch,4635,Anglia - March 2026 Sectional Appendix.pdf,208,2026-04-28T02:36:09.573111
15946,Cambridge SB Wor1<.station 3 (CA~,,,TCB,Romford,AC,BGK,EA1161,59m 10ch,4730,64m 45ch,5165,Anglia - March 2026 Sectional Appendix.pdf,209,2026-04-28T02:36:09.691569
15947,Cambridge SB Workstation 4,CA,,TCB,Romford,AC,BGK,EA1161,66m 25ch,5305,69m 20ch,5540,Anglia - March 2026 Sectional Appendix.pdf,210,2026-04-28T02:36:09.809866
15948,Cambridge SB workstation 4,CA,,TCB,,,BGK,EA1161,69m 79ch,5599,70m 30ch,5630,Anglia - March 2026 Sectional Appendix.pdf,211,2026-04-28T02:36:10.020116
15949,Cambridge SB workstation 4,CA,,TCB,Romford,AC,BGK,EA1161,70m 38ch,5638,71m 09ch,5689,Anglia - March 2026 Sectional Appendix.pdf,212,2026-04-28T02:36:10.066888
15950,Cambridge SB Workstation 4,CA,,TCB,Romford,AC,BGK,EA1162,73m 18ch,5858,76m 00ch,6080,Anglia - March 2026 Sectional Appendix.pdf,214,2026-04-28T02:36:10.319197
